tweet_id,retweet,text,source,screen_name,name,location,description,followers,following,created_at,created_at_seconds,hashtag1,hashtag2,url1,url2,mention1,mention2,lat,lon
247530143625646080,247497161632251904,RT @Dbargen: LIBYA: RT @iowahawkblog: Why the hell do we have to rely on foreign press to cover this? http://t.co/AmTxotAK #obamaFAIL #l ...,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",OCAmericans,OrgConservAmericans,"Washington, D.C. & TEXAS",Organization of Conservative Americans 4 Romney/Ryan   BREAKING NEWS 4 Conservative Americans #TCOT #PROLIFE #REAGAN #TEAPARTY #ISRAEL #RNC  #TROOPS ,4354,4349,Fri Jan 09 18:45:58 +0000 2009,1347865159.0,obamaFAIL,l,http://t.co/AmTxotAK,,Dbargen,,,
247530152790220800,,"Breaking, Cover-Up?: Libyan President Indicates U.S. Knew Date And Time Of Embassy Attack In Advance... http://t.co/vUcAQdfh via @patdollard","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",FFOFreedom,Fighting4OurFreedom,Montana/So. CA,FightingForOurFreedom.com is a Website Dedicated to Our Freedom & Liberty. Blog updated Daily. Romney/Ryan2012.,182,436,Wed Jul 25 17:54:37 +0000 2012,1347865161.0,,,http://t.co/vUcAQdfh,,PatDollard,,,
247530156690911232,247528672859394048,"RT @AlieNicole7: Breaking, Cover-Up?: Libyan President Indicates U.S. Knew Date And Time Of Embassy Attack In Advance... http://t.co/Iat ...","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TexasFreedom12,Travis Pope,"Hickory, NC",Rock Solid against all Liberals and Socialist views! YHWH is 100% Real and Yeshua is 100% Real! If you don't Believe! It will be HOT where you are going!,218,160,Sat Aug 01 02:01:53 +0000 2009,1347865162.0,,,http://t.co/Iat,,AlieNicole7,,,
247530156690903040,247528226803576832,RT @laurenmarie10: .@riptherunwaymel Educate yourself. Do you endorse this type of violence? http://t.co/tjA4FIRJ @TheMaverick21 @glenasbury,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LNYHBTfan,Grace,,I believe in ONE Nation Under GOD  #LNYHBT I am a retweeter Momma of 5 Oma of 2,1334,1975,Wed May 02 03:38:24 +0000 2012,1347865162.0,,,http://t.co/tjA4FIRJ,,laurenmarie10,,,
247530180975919104,247527735038210048,"RT @kirstenpowers10: @InkSptsGulliver  All the FBI's resources shld be focussed on finding killers in Libya, not finding a filmaker and  ...","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SierraDante,Sierra Dante,Florida,"Fine Art of Sierra Dante, Independent Thinker, Married, Love Art, Politics, Free Markets, Music and Tampa Rays. I also balance my checkbook every month!",819,1275,Sat Oct 29 03:04:57 +0000 2011,1347865168.0,,,,,kirstenpowers10,,,
247530199267291136,247530039183290368,RT @gayright: I am livid about the murder of our diplomats in Libya. But no one in Obama's administration seems to be angry. What does t ...,"<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>",loudmouthdad,Heavenly Watcher,Everywhere,Exposing Twitter's well known liberal bias against conservatives. If you've been wrongly suspended let me know,13,77,Sun Sep 16 16:18:20 +0000 2012,1347865173.0,,,,,gayright,,,
247530200278114304,,Nice work @AnnCoulter: Libya commemorates 9/11 | http://t.co/8yVjg5Ej http://t.co/fSPlkhSK,web,TTownD,Doug ,TTown,"PROUD Conservative, Full Time Student, Former Business Owner, and Full Time Musician",93,207,Sat Apr 10 16:04:24 +0000 2010,1347865173.0,,,http://t.co/8yVjg5Ej,http://t.co/fSPlkhSK,AnnCoulter,,,
247530200760459264,245967675136823296,"RT @DennisDMZ: So let me get this straight. There's a War on Women but no War on Terror? Hey guys, little less focus on the labia little ...","<a href=""http://www.handmark.com"" rel=""nofollow"">TweetCaster for iOS</a>",AndrewDeikel,Captain Combover,,"Fiscal conservative, pro capitalism.  retweeter.  For Mitt Romney #Mitt2012. shout out to my buddy Doug Mr. Negative 25% Weissman",272,494,Sat Jan 07 10:40:13 +0000 2012,1347865173.0,,,,,DennisDMZ,,,
247530209191002112,247529894827933696,"RT @PatDollard: Breaking, Cover-Up?: Libyan President Indicates U.S. Knew Date And Time Of Embassy Attack In Advance... http://t.co/pqeF ...",web,rm1evo,rm1evo,San Diego,"From Seattle to San Antonio to San Diego. Part of Ryan’s announcement speech. “We will not replace our founding principles, we will reapply them.” #Resist44",185,419,Tue Nov 15 19:38:49 +0000 2011,1347865175.0,,,http://t.co/pqeF,,PatDollard,,,
247530375268675584,,"“@DonLemonCNN: For those non-believers, here's the Romney Libya fact check.  Enjoy!  http://t.co/xqqcTN7N
#CNN”","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hopedoty,Hope Doty,"Austin, TX","Writer, cook, cross-stitch, sew, crochet, renaissance chick, YA/fantasy/cozy mystery lover, sometime-patient spouse of @myerman,  & USAF veteran.",958,342,Sat Mar 14 15:59:24 +0000 2009,1347865215.0,CNN,,http://t.co/xqqcTN7N,,DonLemonCNN,,,
